timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763309463.769195,100.0,19550.828125,29.9,0.0,0.0,0.0
1763309463.9767654,100.0,19550.43359375,29.8,0.0,0.0,0.0
1763309464.2700284,100.0,19593.66796875,29.9,0.0,0.0,0.0
1763309464.63417,100.0,19595.9375,29.9,0.0,0.0,0.0
1763309464.7496789,88.9,19599.703125,29.9,0.0,0.0,0.0
1763309464.8644245,100.0,19279.625,29.4,0.0,0.0,0.0
1763309464.9802628,0.0,18677.02734375,28.5,0.0,0.0,0.0
1763309465.0975761,100.0,18546.13671875,28.3,0.0,0.0,0.0
1763309465.4742265,100.0,18619.4140625,28.4,0.0,0.0,0.0
1763309465.6550817,100.0,18619.83984375,28.4,0.0,0.0,0.0
1763309465.779225,100.0,18607.0546875,28.4,0.0,0.0,0.0
1763309465.9058847,100.0,18606.35546875,28.4,0.0,0.0,0.0
1763309466.0265548,100.0,18617.96875,28.4,0.0,0.0,0.0
1763309466.4309947,100.0,18657.1328125,28.5,0.0,0.0,0.0
1763309466.5518966,100.0,18657.3828125,28.5,0.0,0.0,0.0
1763309466.6762967,100.0,18644.36328125,28.5,0.0,0.0,0.0
1763309466.7955198,100.0,18642.56640625,28.5,0.0,0.0,0.0
1763309467.0749917,100.0,18661.0703125,28.5,0.0,0.0,0.0
1763309467.3784413,100.0,18666.28125,28.5,0.0,0.0,0.0
1763309467.4940076,100.0,18655.16796875,28.5,0.0,0.0,0.0
1763309467.643313,100.0,18660.28125,28.5,0.0,0.0,0.0
1763309467.7669513,100.0,18695.26953125,28.5,0.0,0.0,0.0
1763309468.2571409,100.0,18738.4765625,28.6,0.0,0.0,0.0
1763309468.5021598,100.0,18749.2890625,28.6,0.0,0.0,0.0
1763309468.7762043,100.0,18763.6328125,28.6,0.0,0.0,0.0
1763309468.9583416,100.0,18754.7734375,28.6,0.0,0.0,0.0
1763309469.1540437,100.0,18767.49609375,28.7,0.0,0.0,0.0
1763309469.2763815,100.0,18776.59765625,28.7,0.0,0.0,0.0
1763309469.4182148,0.0,18788.5234375,28.7,0.0,0.0,0.0
1763309469.6133661,100.0,18795.25390625,28.7,0.0,0.0,0.0
1763309469.9052796,100.0,18813.65625,28.7,0.0,0.0,0.0
1763309470.0218737,100.0,18791.4140625,28.7,0.0,0.0,0.0
1763309470.1566052,100.0,18814.515625,28.7,0.0,0.0,0.0
1763309470.314392,100.0,18826.0703125,28.7,0.0,0.0,0.0
1763309470.4475682,0.0,18845.515625,28.8,0.0,0.0,0.0
1763309470.6216192,100.0,18843.73046875,28.8,0.0,0.0,0.0
1763309470.8821876,100.0,18862.11328125,28.8,0.0,0.0,0.0
1763309471.1035402,100.0,18864.5625,28.8,0.0,0.0,0.0
1763309471.2791104,100.0,18875.2421875,28.8,0.0,0.0,0.0
1763309471.4233732,100.0,18890.0078125,28.8,0.0,0.0,0.0
1763309471.6271749,100.0,18909.2734375,28.9,0.0,0.0,0.0
1763309471.8886726,100.0,18916.96484375,28.9,0.0,0.0,0.0
1763309472.0926855,100.0,18918.5,28.9,0.0,0.0,0.0
1763309472.2342691,100.0,18929.3984375,28.9,0.0,0.0,0.0
1763309472.3707707,100.0,18946.8515625,28.9,0.0,0.0,0.0
1763309472.573336,100.0,18959.453125,28.9,0.0,0.0,0.0
1763309472.7260678,100.0,18992.04296875,29.0,0.0,0.0,0.0
1763309472.8442495,100.0,18973.0546875,29.0,0.0,0.0,0.0
1763309473.0036118,100.0,19023.75,29.0,0.0,0.0,0.0
1763309473.1478646,100.0,19056.14453125,29.1,0.0,0.0,0.0
1763309473.2789698,100.0,19072.125,29.1,0.0,0.0,0.0
1763309473.412197,100.0,19109.26171875,29.2,0.0,0.0,0.0
1763309473.5291843,0.0,19131.546875,29.2,0.0,0.0,0.0
1763309473.6599429,100.0,19161.859375,29.3,0.0,0.0,0.0
1763309473.7743592,100.0,19185.421875,29.3,0.0,0.0,0.0
1763309473.8961108,100.0,19203.84375,29.3,0.0,0.0,0.0
1763309474.0300155,100.0,19236.5546875,29.4,0.0,0.0,0.0
1763309474.168243,100.0,19270.484375,29.4,0.0,0.0,0.0
1763309474.3044016,100.0,19295.875,29.5,0.0,0.0,0.0
1763309474.445456,100.0,19323.03125,29.5,0.0,0.0,0.0
1763309474.5597794,0.0,19348.140625,29.5,0.0,0.0,0.0
1763309474.6983328,100.0,19391.66796875,29.6,0.0,0.0,0.0
1763309474.8250535,100.0,19399.4375,29.6,0.0,0.0,0.0
1763309474.939805,100.0,19428.34375,29.7,0.0,0.0,0.0
1763309475.0606983,100.0,19434.90625,29.7,0.0,0.0,0.0
1763309475.1956987,100.0,19460.67578125,29.7,0.0,0.0,0.0
1763309475.311681,100.0,19472.34765625,29.7,0.0,0.0,0.0
1763309475.4457252,100.0,19500.48828125,29.8,0.0,0.0,0.0
1763309475.5618546,100.0,19523.3515625,29.8,0.0,0.0,0.0
1763309475.6872158,100.0,19554.55859375,29.9,0.0,0.0,0.0
1763309475.8048694,100.0,19594.5703125,29.9,0.0,0.0,0.0
1763309475.9359002,100.0,19607.39453125,29.9,0.0,0.0,0.0
1763309476.0648315,100.0,19645.76171875,30.0,0.0,0.0,0.0
1763309476.179154,100.0,19657.12890625,30.0,0.0,0.0,0.0
1763309476.3121529,100.0,19692.55078125,30.1,0.0,0.0,0.0
1763309476.442097,100.0,19709.51171875,30.1,0.0,0.0,0.0
1763309476.555227,100.0,19728.5078125,30.1,0.0,0.0,0.0
1763309476.6917405,100.0,19762.984375,30.2,0.0,0.0,0.0
1763309476.842189,100.0,19796.59375,30.2,0.0,0.0,0.0
1763309476.9606874,100.0,19816.3984375,30.3,0.0,0.0,0.0
1763309477.1245527,100.0,19858.5390625,30.3,0.0,0.0,0.0
1763309477.260508,0.0,19900.83984375,30.4,0.0,0.0,0.0
1763309477.411647,100.0,19908.859375,30.4,0.0,0.0,0.0
1763309477.6300726,100.0,19945.16796875,30.5,0.0,0.0,0.0
1763309477.8164883,100.0,19962.6796875,30.5,0.0,0.0,0.0
1763309477.9328237,0.0,19956.60546875,30.5,0.0,0.0,0.0
1763309478.0473397,100.0,19958.1953125,30.5,0.0,0.0,0.0
1763309478.164099,25.0,20011.8671875,30.6,0.0,0.0,0.0
1763309478.2631936,66.7,20032.21484375,30.6,0.0,0.0,0.0
1763309478.387265,0.0,20051.95703125,30.6,0.0,0.0,0.0
1763309478.5024743,100.0,20095.71484375,30.7,0.0,0.0,0.0
1763309478.9279149,100.0,20219.31640625,30.9,0.0,0.0,0.0
1763309479.1539016,100.0,20230.69921875,30.9,0.0,0.0,0.0
1763309479.289273,100.0,20225.8984375,30.9,0.0,0.0,0.0
1763309479.4208155,100.0,20206.26953125,30.9,0.0,0.0,0.0
1763309479.8400428,100.0,20217.53515625,30.9,0.0,0.0,0.0
1763309479.9985542,100.0,20222.55859375,30.9,0.0,0.0,0.0
1763309480.139523,100.0,20212.99609375,30.9,0.0,0.0,0.0
1763309480.2533934,100.0,20199.859375,30.8,0.0,0.0,0.0
1763309480.3833668,100.0,20215.15625,30.9,0.0,0.0,0.0
1763309480.7928267,100.0,20219.359375,30.9,0.0,0.0,0.0
1763309481.013331,100.0,20223.5546875,30.9,0.0,0.0,0.0
1763309481.1349678,100.0,20215.23828125,30.9,0.0,0.0,0.0
1763309481.264561,100.0,20213.9140625,30.9,0.0,0.0,0.0
1763309481.5403209,100.0,20228.390625,30.9,0.0,0.0,0.0
1763309481.9166756,100.0,20221.68359375,30.9,0.0,0.0,0.0
1763309482.0311809,100.0,20221.27734375,30.9,0.0,0.0,0.0
1763309482.1628687,100.0,20206.9140625,30.9,0.0,0.0,0.0
1763309482.4649916,100.0,20226.41015625,30.9,0.0,0.0,0.0
1763309482.792489,100.0,20226.9453125,30.9,0.0,0.0,0.0
1763309482.9257126,100.0,20225.78515625,30.9,0.0,0.0,0.0
1763309483.0738811,0.0,20198.83984375,30.8,0.0,0.0,0.0
1763309483.207372,100.0,20219.07421875,30.9,0.0,0.0,0.0
1763309483.6210558,100.0,20218.94140625,30.9,0.0,0.0,0.0
1763309483.7349079,100.0,20219.3828125,30.9,0.0,0.0,0.0
1763309483.8851464,100.0,20206.93359375,30.9,0.0,0.0,0.0
1763309484.0026343,100.0,20203.31640625,30.8,0.0,0.0,0.0
1763309484.4431627,100.0,20217.15625,30.9,0.0,0.0,0.0
1763309484.655374,100.0,20221.64453125,30.9,0.0,0.0,0.0
1763309484.7840219,100.0,20213.24609375,30.9,0.0,0.0,0.0
1763309484.9404247,100.0,20207.73828125,30.9,0.0,0.0,0.0
1763309485.0783165,100.0,20207.36328125,30.9,0.0,0.0,0.0
1763309485.4833355,100.0,20216.28515625,30.9,0.0,0.0,0.0
1763309485.5987015,100.0,20219.53125,30.9,0.0,0.0,0.0
1763309485.7341256,100.0,20214.12109375,30.9,0.0,0.0,0.0
1763309485.8520012,100.0,20199.203125,30.8,0.0,0.0,0.0
1763309485.995688,100.0,20211.67578125,30.9,0.0,0.0,0.0
1763309486.4217904,100.0,20224.73828125,30.9,0.0,0.0,0.0
1763309486.542754,0.0,20222.67578125,30.9,0.0,0.0,0.0
1763309486.6755893,100.0,20216.58203125,30.9,0.0,0.0,0.0
